,name,price,address,information,url,brand,image_url,model,store,type,fuel,used_status,used_distance,Giảm xóc - Phuộc,Phanh,Động cơ,Đồng hồ,Khoá,Hệ thống đèn,Hệ thống tự động,Công nghệ kết nối,Khác
220,Honda LEAD 125 FI,25000000,Tp. Hà Nội,"{""brand"": ""Honda"", ""image_url"": null, ""model"": ""LEAD"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Phanh"": ""Phanh cơ,Phanh Đĩa"", ""Khoá"": ""Smartkey"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI"", ""Hệ thống tự động"": ""Hệ thống ngắt động cơ tạm thời - Idling Stop""}",https://api.okxe.vn/products/honda-lead-125-fi-1697712,Honda,,LEAD,xe máy PHÚ THỊNH,1,Gasolin,used,5000,,"Phanh cơ,Phanh Đĩa",Phun xăng điện tử Fi / PGM-FI,,Smartkey,,Hệ thống ngắt động cơ tạm thời - Idling Stop,,
221,Honda PCX 125,27500000,Tp. Hà Nội,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/711/1697711/1697711_209408_2._20230615062942_cCzngqB2_l_800x800.jpg"", ""model"": ""PCX"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI"", ""Hệ thống tự động"": ""Hệ thống ngắt động cơ tạm thời - Idling Stop""}",https://api.okxe.vn/products/honda-pcx-125-1697711,Honda,https://cdn.okxe.vn/products/711/1697711/1697711_209408_2._20230615062942_cCzngqB2_l_800x800.jpg,PCX,xe máy PHÚ THỊNH,1,Gasolin,used,5000,,,Phun xăng điện tử Fi / PGM-FI,,,,Hệ thống ngắt động cơ tạm thời - Idling Stop,,
222,Yamaha Exciter 150,17500000,Tp. Hà Nội,"{""brand"": ""Yamaha"", ""image_url"": null, ""model"": ""Exciter"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""2"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000}",https://api.okxe.vn/products/yamaha-exciter-150-1697710,Yamaha,,Exciter,xe máy PHÚ THỊNH,2,Gasolin,used,5000,,,,,,,,,
223,Yamaha R15 V2 150,22500000,Tp. Hà Nội,"{""brand"": ""Yamaha"", ""image_url"": ""https://cdn.okxe.vn/products/709/1697709/1697709_209408_6._20230615062923_6aSYQhWu_l_800x800.jpg"", ""model"": ""R15 V2"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""2"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000}",https://api.okxe.vn/products/yamaha-r15-v2-150-1697709,Yamaha,https://cdn.okxe.vn/products/709/1697709/1697709_209408_6._20230615062923_6aSYQhWu_l_800x800.jpg,R15 V2,xe máy PHÚ THỊNH,2,Gasolin,used,5000,,,,,,,,,
224,Honda PCX 150,25500000,Tp. Hà Nội,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/706/1697706/1697706_139109_IMG_E3355_20230615062836_jJdyvO6N_l_800x800.jpg"", ""model"": ""PCX"", ""store"": ""Xe máy Thanh Tùng"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Phanh"": ""Phanh Đĩa"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI"", ""Hệ thống tự động"": ""Hệ thống ngắt động cơ tạm thời - Idling Stop""}",https://api.okxe.vn/products/honda-pcx-150-1697706,Honda,https://cdn.okxe.vn/products/706/1697706/1697706_139109_IMG_E3355_20230615062836_jJdyvO6N_l_800x800.jpg,PCX,Xe máy Thanh Tùng,1,Gasolin,used,5000,,Phanh Đĩa,Phun xăng điện tử Fi / PGM-FI,,,,Hệ thống ngắt động cơ tạm thời - Idling Stop,,
225,Yamaha Nozza Grande 125,8500000,Tp. Hà Nội,"{""brand"": ""Yamaha"", ""image_url"": ""https://cdn.okxe.vn/products/707/1697707/1697707_139109_IMG_E2461_20230615062858_ZpmgOYuM_l_800x800.jpg"", ""model"": ""Nozza Grande"", ""store"": ""Xe máy Thanh Tùng"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000}",https://api.okxe.vn/products/yamaha-nozza-grande-125-1697707,Yamaha,https://cdn.okxe.vn/products/707/1697707/1697707_139109_IMG_E2461_20230615062858_ZpmgOYuM_l_800x800.jpg,Nozza Grande,Xe máy Thanh Tùng,1,Gasolin,used,5000,,,,,,,,,
226,Benelli TNT 125,13000000,Tp. Hà Nội,"{""brand"": ""Benelli"", ""image_url"": ""https://cdn.okxe.vn/products/704/1697704/1697704_209408_1._20230615062724_YK6EibgA_l_800x800.jpg"", ""model"": ""TNT"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""2"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Phanh"": ""Phanh ABS,Phanh Đĩa""}",https://api.okxe.vn/products/benelli-tnt-125-1697704,Benelli,https://cdn.okxe.vn/products/704/1697704/1697704_209408_1._20230615062724_YK6EibgA_l_800x800.jpg,TNT,xe máy PHÚ THỊNH,2,Gasolin,used,5000,,"Phanh ABS,Phanh Đĩa",,,,,,,
227,Honda Crea Scoopy,10000000,Tp. Hà Nội,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/708/1697708/1697708_139109_IMG_E2722_20230615062910_aAzG2tyK_l_800x800.jpg"", ""model"": ""Crea"", ""store"": ""Xe máy Thanh Tùng"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Giảm xóc - Phuộc"": ""Phuộc ống lồng,Giảm xóc thủy lực"", ""Phanh"": ""Phanh thắng đùm/ tang trống""}",https://api.okxe.vn/products/honda-crea-scoopy-1697708,Honda,https://cdn.okxe.vn/products/708/1697708/1697708_139109_IMG_E2722_20230615062910_aAzG2tyK_l_800x800.jpg,Crea,Xe máy Thanh Tùng,1,Gasolin,used,5000,"Phuộc ống lồng,Giảm xóc thủy lực",Phanh thắng đùm/ tang trống,,,,,,,
228,Suzuki Raider R 150 FI,27500000,Tp. Hà Nội,"{""brand"": ""Suzuki"", ""image_url"": ""https://cdn.okxe.vn/products/701/1697701/1697701_209408_5._20230615062502_QzvxiCPw_l_800x800.jpg"", ""model"": ""Raider"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""2"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Phanh"": ""Phanh Đĩa"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI"", ""Đồng hồ"": ""Đồng hồ LCD""}",https://api.okxe.vn/products/suzuki-raider-r-150-fi-1697701,Suzuki,https://cdn.okxe.vn/products/701/1697701/1697701_209408_5._20230615062502_QzvxiCPw_l_800x800.jpg,Raider,xe máy PHÚ THỊNH,2,Gasolin,used,5000,,Phanh Đĩa,Phun xăng điện tử Fi / PGM-FI,Đồng hồ LCD,,,,,
229,Yamaha Nouvo RC,9000000,Tp. Hà Nội,"{""brand"": ""Yamaha"", ""image_url"": ""https://cdn.okxe.vn/products/703/1697703/1697703_209408_8._20230615062719_uHnED4Od_l_800x800.jpg"", ""model"": ""Nouvo"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000}",https://api.okxe.vn/products/yamaha-nouvo-rc-1697703,Yamaha,https://cdn.okxe.vn/products/703/1697703/1697703_209408_8._20230615062719_uHnED4Od_l_800x800.jpg,Nouvo,xe máy PHÚ THỊNH,1,Gasolin,used,5000,,,,,,,,,
